620740100070100052508000370067300900090000060800970031002000006000800000450002003,623745198974138652518269374267381945391524867845976231782493516136857429459612783
627140503345206971089503602000700364793054018460008059056031097971005836834067105,627149583345286971189573642518792364793654218462318759256831497971425836834967125
720890500390460100000217890809002000204008000105049287610000028080020915950701040,721893564398465172546217893869572431274138659135649287613954728487326915952781346
803700000026000004097100203705000908901070040038401567170950800680210435352846000,813724659526389174497165283745632918961578342238491567174953826689217435352846791
206007905345092018000850060000509000708000450004083126420060580571200094860000200,286317945345692718197854362612549873738126459954783126423961587571238694869475231
700000000400708061100296847000001400801000030090600075080010006007052394935467010,768145923429738561153296847576321489841579632392684175284913756617852394935467218
900000002010060390083900100804095007130670049060041000302010050000500000541080030,956134782417268395283957164824395617135672849769841523372416958698523471541789236
005000060000006302040081597012038754000200810087014000120007680000092030954860200,375429168891756342246381597612938754439275816587614923123547689768192435954863271
709000100421000050300700008100000302908320000002070809070530400090000675000600093,789256134421893756365714928157968342948321567632475819276539481893142675514687293
001300002079000000020670903000967300750001049080503100040702530205806700107405060,861359472379124856524678913412967385753281649986543127648792531235816794197435268
600017400401003008059800721120000050000040800008020100004530007700090086263170000,682917435471253968359864721127389654536741892948625173894536217715492386263178549
800005047040008500000000630000000490590040002072006305980000273067804051030070000,829365147643718529751492638318527496596143782472986315984651273267834951135279864
400000070060850240000301065049078500007032008280009430120703004700010000006200009,415926873963857241872341965349178526657432198281569437128793654794615382536284719
500000260024086000807152300000600703003400006700098120030800600072000481000070000,519734268324986517867152349481625793293417856756398124135849672972563481648271935
604001035003450001521900000069807104250014007410090006000060010000039070070140503,694281735783456921521973648369827154258614397417395286835762419146539872972148563
420796050300280497879004612690005201538400009010369004983647025006150000100020346,421796853365281497879534612694875231538412769712369584983647125246153978157928346
080000090090502000003001408007090630000000001650020000900300080310040970002879013,586437192194582367723961458247198635839654721651723849975316284318245976462879513
005020040007090318106840070510000693300000700074230001050764189040001002081902030,835127946427695318196843275512478693368519724974236851253764189749381562681952437
000000065004056701070813940006005490500690000009042000062504179000000030000000628,198427365234956781675813942826175493543698217719342856362584179987261534451739628
790048060125976300040305720980657413007100856001000007006002135009701000010500000,793248561125976384648315729982657413437129856561834297876492135359781642214563978
290800300000000046786500200020000100100009482647000903875200004310645700009008000,294816375531927846786534219928453167153769482647182953875291634312645798469378521
180023000942500008060010092209840000608395040300067850806000027407002900001700004,185923476942576138763418592259841763678395241314267859896154327437682915521739684
908260351500094872002010409003000084154083007020000905760100040009006000001005090,948267351516394872372518469693752184154983627827641935765139248289476513431825796
950064037046081059001539080034106070865000020090028000500612000613470090000890005,958264137346781259721539486234156978865947321197328564589612743613475892472893615
070620509029400000680570000300000000806750093000086005000000170064030000005004032,471623589529418367683579421357942816846751293192386745938265174264137958715894632
790400801100780090000910402975821046000000785006504000207090034300200908009100627,793452861124786593658913472975821346412369785836574219287695134361247958549138627
600502000450093700030684090203800560001000002007025010005036400320750601976418053,619572348458193726732684195293841567541967832867325914185236479324759681976418253
870500060010000207640180509000001000120006075008072006000605008000004000904008621,879523164315469287642187539467851392123946875598372416231695748786214953954738621
032104070500300002000625000080061020007402608201780054640000030098003700723056001,832194576516378492479625183384561927957432618261789354645817239198243765723956841
480060001103008526065700080058200010004080300021679005006023907510946008009800000,482365791173498526965712483758234619694581372321679845846123957517946238239857164
030074096600398700008061340053007009400059070096002084000023600310040000862000437,135274896624398751978561342253487169481659273796132584549723618317846925862915437
000001000003006097061037500000709800830040001000020006740008610300060052000900003,287591364453286197961437528624719835839645271175823946742358619398164752516972483
001002003004000900296015048560008197009000054700950300400187600010500402900020005,871492563354876921296315748563248197189763254742951386425187639618539472937624815
003060005792051400006200009268719054030026978000000601050103090029004000800002003,483967215792351486516248739268719354135426978947835621654173892329584167871692543
049003825500709106361025007600590084800004309190370562008000691415986273970130450,749613825582749136361825947623591784857264319194378562238457691415986273976132458
026853700000000000053040096240076810319005460600134020064397180708502604002060079,926853741471629358853741296245976813319285467687134925564397182798512634132468579
468050702273140509009002463001860000090030001030000600980501200327600104016324908,468953712273146589159782463741869325695237841832415697984571236327698154516324978
000009038000005004350700091000400000407500020060020805500900006840001070036040009,674219538192385764358764291285436917417598623963127845521973486849651372736842159
604300090210079064905014270450003900000001000008000000032700080890206010506000000,674382591213579864985614273451863927769421358328957146132745689897236415546198732
591300200004062031000917508063005080100480003057000000000090610048270395000050870,591348267784562931236917548463725189129486753857139426375894612648271395912653874
309000050007003060081407200108900020700340910932068000004080090506704000003020607,329816754457293861681457239148975326765342918932168475274681593596734182813529647
406150083703200000508003200630700500157009024982500307049680702000900030071300009,426157983793268145518493276634712598157839624982546317349681752265974831871325469
100000809950018000300000076580906000003500000204700560000000081600004003830169045,146327859957618432328495176581946327763582914294731568479253681615874293832169745
000000000084500970291000008809100500753942060010000000002714000370080400100035700,537896142684521973291473658829167534753942861416358297962714385375289416148635729
243600950005201000706953802657009080804507029009030060501402700008016005092785004,243678951985241376716953842657129483834567129129834567561492738478316295392785614
001090000009080054080576900076925301130000007495700080608250070000000006943607020,751394268369182754284576913876925341132468597495731682618253479527849136943617825
030810070000067105710003084002085790807436000600792040160329000920571860573048910,235814679489267135716953284342185796897436521651792348168329457924571863573648912
690538072080000600030907085040000900006029051000751800904000010008610090003000740,691538472587142639432967185145386927876429351329751864964273518758614293213895746
100500007090830004800200100400010072000048351001302006204900715315007690000000023,143569287792831564856274139438615972629748351571392846264983715315427698987156423
072834069045020008000075020014080000867040003200300800523408000000003080486007310,172834569945126738638975421314789652867542193259361847523418976791653284486297315
907201000000000006010070250825019064749032800003508090302000501680300907500027638,957261483238495176416873259825719364749632815163548792372986541681354927594127638
008052070091040006705800400570083204600000017810764035156400320024030700387095641,468952173291347586735816492579183264643529817812764935156478329924631758387295641
037604250200300100009250008000700090902005031740130006090070604001060000526800903,837614259254398167619257348183726495962485731745139826398572614471963582526841973
006007208310082076700061430009018500105470060800203004000030680678095300000820750,596347218314582976782961435439618527125479863867253194251734689678195342943826751
000000840090207100017568903700000600040602000003000002030850271900036500001700006,256391847398247165417568923729413658145682739863975412634859271972136584581724396
000000048300100720840000003003002006017060200620580304000013402100600890004857001,971236548356148729842795163583472916417369285629581374768913452135624897294857631
760009001024810076001706902600905018005030607800060295200600700400357009530090800,768529431924813576351746982642975318195238647873461295219684753486357129537192864
210089357090002800004700912341506200509004001600800430070325060100007589065910020,216489357793152846854763912341576298589234671627891435978325164132647589465918723
580062041060901000009000600006107839720008010001000006000705000075406003648039150,587362941264971385319854672456127839723698514891543726932715468175486293648239157
140000270070054319500207048000068024080400107024730000007000802802003400491806000,146389275278654319539217648713568924685492137924731586367145892852973461491826753
010000608900000100706300000500743000000005400340091075003200091104000300069000050,412579638935486127786312549521743986697825413348691275853264791174958362269137854
380500091697010005005080700460200003073098140800743000140000907730904000950070030,384567291697412385215389764469251873573698142821743659146835927738924516952176438
090143802600590007480672593547261009368459721019837654906384215154706930030915006,795143862623598147481672593547261389368459721219837654976384215154726938832915476
000050780000600010090020603100400000054260090007030001582910370000002500003000129,236159784875643912491728653168497235354261897927835461582914376619372548743586129
040301000000427060270560048500094600904006852706005090001950780090013000325700906,649381275158427369273569148512894637934176852786235491461952783897613524325748916
750314600830006001010000407507208000400000059000950084300000070081000003002001800,759314628834726591216895437597248316428163759163957284345689172681572943972431865
000003648605700923003680015109408207000009050500070000807905000306804070250300189,721593648685741923943682715169458237472139856538276491817925364396814572254367189
007310902380050006025000031073009104140830007650701328034080600500207010716493285,467318952381952746925674831873529164142836597659741328234185679598267413716493285
108600003000080602060054819900045231050960000481700090000097065019000380605410900,128679453594183672367254819976845231253961748481732596842397165719526384635418927
000070060200486010080032000400800030000047002600213740831054000527000000960020570,143579268259486317786132954472895136315647892698213745831754629527961483964328571
370006905040300000906102004164059200800030047735248600520067010010003809083900752,371486925248395176956172384164759238892631547735248691529867413417523869683914752
000534007000297500020016004000008000058409070000000600500000010900641850183700946,869534127431297568725816394697128435358469271214375689546983712972641853183752946
709000040032640059080279106000320000290001308013000020076100200000804003500002091,769513842132648759485279136854326917297451368613987425376195284921864573548732691
000963000301520490060001325810290574096000130072004080930048060108659740647130058,254963817381527496769481325813296574496875132572314689935748261128659743647132958
050600041003045600960800300600000100007008204402000003029500036006024510000000802,258693741173245698964817325695432187317958264482176953729581436836724519541369872
763541289048009050009860070476003095530096002002150730005000400027005060080627510,763541289248379651159862374476283195531796842892154736615938427327415968984627513
600053904000600082098712305780304520109200706520176839000431258840000600000068007,612853974375649182498712365786394521139285746524176839967431258841527693253968417
407851030000470805001032640018723400670089020930604708349208000000300269720090384,467851932293476815851932647518723496674589123932614758349268571185347269726195384
000090015000100840050380207000530000000602431012009500028003004037000002400050083,284796315673125849951384267746531928895672431312849576128963754537418692469257183
000000145903405700005000900092070000031502000600008500080009357700800600006007090,278936145913485762465721983592674831831592476647318529184269357729853614356147298
092405000007000250010800000746000309009060802100009067901030000600080900084590001,392475186867913254415826793746258319539761842128349567951632478673184925284597631
002085700000607000000100000400001007267504000001000090518700430030010506900003001,142985763895637142673142985489361257267594318351278694518726439734819526926453871
802604050000001064004005003900107430508390601317046020400063708080000000000000506,892634157735821964164975283926187435548392671317546829459263718681759342273418596
100305098090000000080179602624000000800607420370040800068004930030008060005006204,142365798796482315583179642624853179851697423379241856268514937437928561915736284
600083570300700900000069030000001008100630400503090010840302009032040085000058000,619283574384715926257469831476521398198637452523894617845372169932146785761958243
500670084407000630068000701000000209050980460679042518105869047796400852003720096,532671984417298635968534721384156279251987463679342518125869347796413852843725196
000006900000020874528000360035081000000073185070064209002040008019008403700002006,147836952963125874528497361235981647496273185871564239352649718619758423784312596
300504026000070413000000907196402738045060090000081004080307049032008175400090380,379514826658279413214836957196452738845763291723981564581327649932648175467195382
020030108500970020800002003740605300005087602060410800004090560009800204150260000,427536198531978426896142753748625319915387642362419875284793561679851234153264987
009630080081000023200580074000103809000408002000200460050900030070804290802010046,749632185581749623236581974427163859965478312318295467154926738673854291892317546
005400890000037254410809030200370569501900000790000008020004900640790103050010000,375426891869137254412859637284371569531968742796542318123684975648795123957213486
098100063060040000702500010400058030015000080306010000600005040927000300000206007,598127463163849725742563918479658231215374689386912574631795842927481356854236197
300200070061008020008400000000700350030010290902036000003000008507009610100000900,359261874461978523278453169846792351735814296912536487693125748587349612124687935
540000637620780540937456210754030900310000050002040070295600183480190002170300095,548912637621783549937456218754831926319267854862549371295674183483195762176328495
136057000520030006008062930385020409070090002402685070954306000203578190000209603,136957248529834716748162935385721469671493582492685371954316827263578194817249653
276450190000678000800219007942007810507800409681090302000930700009700246028100003,276453198193678524854219637942367815537821469681594372465932781319785246728146953
000002534000010280200034000020000740906000300140203000708000001300009600460070803,671892534534617289289534176823961745956748312147253968798326451315489627462175893
390001487017304059864907000100805760008436001040710835406073098900648370700509040,395261487217384659864957213132895764578436921649712835426173598951648372783529146
030402080008060327906837041000000978004278000000093402375086000069724835002005700,731452689548169327926837541253641978694278153817593462375986214169724835482315796
042500706876200300301806049027048560009000400463057920090403605000009000730005100,942531786876294351351876249127948563589362417463157928298413675615729834734685192
190406300523090700060300000000140257300560000040700600009000000401008902000007036,198476325523891764764325198986143257317562849245789613679234581431658972852917436
093207000007940320820301000080504013302810900950700000060003590074600001230005476,493257168617948325825361749786594213342816957951732684168473592574629831239185476
720000480004030600356104070018470306640850120000619854065000700070900031183045960,721596483894237615356184279518472396649853127237619854965321748472968531183745962
340680205800005401020000836680510947493860152500024008901702003000358700738100020,349681275876235491125479836682513947493867152517924368951742683264358719738196524
005087000070340086048016275457128960900504728680030041700601002830470600500803407,165287394279345186348916275457128963913564728682739541794651832831472659526893417
478962000025400008690035700900504000004070509157389200800100075003040602049006083,478962351325417968691835724936524817284671539157389246862193475513748692749256183
900002050002905004075340200097063405050000126080000973500607390000400502320001007,934712658162985734875346219297163485453879126681254973548627391719438562326591847
159080070240790001000000004300008000080070143092000005900100460507840300001007050,159384276246795831873216594314568729685972143792431685928153467567849312431627958
021005030035106924060243000146000098070060540258001060580619372002504106613728450,421985637835176924967243815146357298379862541258491763584619372792534186613728459
060107004010480650204659300009008000830746020046900081158300079072090006693000140,365127894917483652284659317729518463831746925546932781158364279472891536693275148
036704100007632000094500000000100034069807512000053000920000006050208001470300050,836794125517632849294581763785126934369847512142953687928415376653278491471369258
300400192008205047720010058439006500000901006261000000007182960190053000680704205,356478192918265347724319658439826571875931426261547839547182963192653784683794215
170504069009000005546091300680070020930100640700209500000006004000700096408002750,173524869829637415546891372685473921932185647714269538297356184351748296468912753
360000209800309005090012076000000002080090610603041800026580031100000000500020908,361457289872369145495812376719638452284795613653241897926584731138976524547123968
006102487002080000700430000015000740897004002230750098060275830000009010028610570,356192487942587361781436925615928743897364152234751698169275834573849216428613579
080026005000000623020940170050092081708400002090000040075634200260080030903007806,387126495419875623526943178654792381738451962192368547875634219261589734943217856
079538200000920037002000008085340002003280540001057309000170820000802406008463700,179538264856924137342716958985341672763289541421657389694175823537892416218463795
201006500000500800087300960000603704020009000400102398005060239093270081002001005,231896547964527813587314962159683724328749156476152398715468239693275481842931675
450029030139480050802300009504008090008500047070614008705000200200860900000070080,457129836139486752862357419524738691618592347973614528785941263241863975396275184
000008601400706850050003040005020004146580000003004905061805492020900076097600010,739458621412796853658213749985327164146589237273164985361875492824931576597642318
090060085180002369360900000050040008000009004074200050000736590700000000509000073,497361285185472369362958417953647128621589734874213956248736591736195842519824673
170526093890000602200198050520001080000050007900800100000973208069080500380610079,174526893895734612236198754527341986618259347943867125451973268769482531382615479
000081003030054800804007615056100382180500700090870001315060000678915034009030106,567281493931654827824397615756149382183526749492873561315462978678915234249738156
704930008008607000039000400070000600400500032000023709800200300206308175013700204,764931528528647913139852467372489651491576832685123749857214396246398175913765284
570203001903004085041000300700000190000098000219007030054806070002970010090020053,576283941923714685841569327768352194435198762219647538154836279382975416697421853
600000701010079603273801000800750002007018000021040008180025300030004060400307200,694532781518479623273861954846753192957218436321946578189625347732194865465387219
580700940027091030010008706038200079269807005051936080895173200000504800342609107,583762941627491538914358726438215679269847315751936482895173264176524893342689157
603000002709400300000000940210050890308027654060800701804001000500009438000300010,643985172759412386182736945217654893398127654465893721834571269571269438926348517
503004008008900605000570041130700006020600003406103000950017062001025030000896504,513264978748931625269578341135782496827649153496153287954317862681425739372896514
070940320200675009050008406843152000062407081000809004090200000000080060305000140,678941325234675819159328476843152697962437581517869234496213758721584963385796142
250400000300000054100000006000803009030000040090570020001030690003005082020069010,256497138379681254184352976417823569532916847698574321741238695963145782825769413
100004875900071002800502049300100490570049218001020356045063081619007003703215064,132694875954871632867532149328156497576349218491728356245963781619487523783215964
300007000009006710600004359702010098530409007001000000168000200900030580050000971,325197864489356712617824359742513698536489127891762435168975243974231586253648971
140203000986005030070009005000000800069000143007306520000830700328017056791600382,145263978986175234273489615432591867569728143817346529654832791328917456791654382
800005002420103865035048970742800109390750000518490030007004000953010020004500710,871965342429173865635248971742836159396751284518492637187324596953617428264589713
100780005030049120009300478850000000306904802000063040900420050400000000620038094,142786935738549126569312478854271369376954812291863547983427651417695283625138794
010000340920683050030714000052060001000001003000400079186592000049130006000046000,617925348924683157835714692752369481498271563361458279186592734549137826273846915
500280006980053000023607008618075040407800060005064780351000604700000800809010075,574281936986453127123697458618975342497832561235164789351728694762549813849316275
807026035450008070306570000971005243503742601600913000008109067000084010109050080,817426935452398176396571824971865243583742691624913758248139567765284319139657482
008603019305200000000007603501000000604000080890400052000750001000002004402006735,278643519365219478149587623521378946634925187897461352983754261756132894412896735
800100507070906001231405896008040760704012008000700015507601000910800004603000000,896123547475986321231475896158349762764512938329768415547691283912837654683254179
250140000010920060930086001193058700672009835080002000347090080000034000009760450,256147398718923564934586271193658742672419835485372619347295186561834927829761453
000000094041003000920060030030059006100200749298004300060300002002096150000042000,387521694641983527925467831734159286156238749298674315869315472472896153513742968
006203578800000603200768004000000860628100047349076102960002085005607230000001090,196243578874915623253768914517324869628159347349876152961432785485697231732581496
360400050401600070000057004030024019000009006010000023006008237290040601000000090,367481952451692378829357164635824719782139546914576823546918237293745681178263495
060004108081200050702000069050020900246107085973680000027050000300740002000800090,569374128481269753732518469158423976246197385973685241827951634395746812614832597
050843002800001000000965783000008924040106530090204018024007090086000270570600300,957843162863721459412965783631578924248196537795234618124357896386419275579682341
000003090010200700700000030090028047400190026120000589082000000900012654001006270,254763891813249765769581432395628147478195326126374589682457913937812654541936278
500081607000500900097060200001056000000000870004000000000308502200040760700002103,542981637683527914197463285371856429965234871824719356416378592239145768758692143
804005109090060074007100560400900800059080640010000032000000080030500016005070093,864735129591862374327149568473926851259381647618457932946213785732598416185674293
700908000600530000900100080204300000070060503030700020095402008480090152302815079,751928346648537291923146785214359867879264513536781924195472638487693152362815479
021374800740180002000026070230000500058000024900540008400008013096030005300450080,621374859749185362583926471234817596158693724967542138475268913896731245312459687
100700005470028060285003090002000034004060700300250016000000000020400371741900000,163749285479528163285613497612897534854361729397254816538176942926485371741932658
613040027000000000094000065200000030009607054000009600706300010000500006082164570,613845927527916348894723165268451739139687254475239681756398412341572896982164573
051003027890251060002768000340009206000380579078506431703405002509602700060017050,651943827897251364432768195345179286126384579978526431783495612519632748264817953
800059070050234006064081235608500043070800001305060802790305428401006007032478600,823659174157234986964781235618592743279843561345167892796315428481926357532478619
080500000016700005000000709109073408005829070078100030002005107000007080001068593,987541326316792845254386719129673458435829671678154932892435167563917284741268593
000080036002010050400509180020870600000090070076005010210708000045063729037000000,591487236782316954463529187324871695158694372976235418219748563845163729637952841
000854900030679100040010060000140600004068012102005008800000007000027000203000501,621854973538679124749213865387142659954368712162795438896531247415927386273486591
002608000008900420004100009703010060600020500820004100010050908250481370480793201,932648715168975423574132689743519862691827534825364197317256948259481376486793251
000000040431000800897004020062400300040293010500007092000001200000020074080570930,625189743431752869897634125962415387748293516513867492376941258159328674284576931
268040701007001294901237068516003020002064000000002050020010385005329007603050902,268945731357681294941237568516873429892564173734192856429716385185329647673458912
023901006941005732685023010000200078290000001104008000007580600450006003800300000,723941586941865732685723914536219478298457361174638295317582649459176823862394157
108036907000810304004509000200740680400000000000058002950180200007900801012004000,128436957579812364364579128295741683486293715731658492953187246647925831812364579
000105006160800900390700501001907805050380060080000003070008659000000400008509207,827195346165843972394726581431967825952381764786254193273418659519672438648539217
008604079910287040007000010403860001201370000059142637700408100092756483004930062,328614579915287346647593218473865921261379854859142637736428195192756483584931762
805007620090803057604005180081406090547920000369700241403689070708514030950302814,835147629192863457674295183281436795547921368369758241413689572728514936956372814
408003002276014090590670001004790105160020800025108064389501247740209300052347000,418953672276814593593672481834796125167425839925138764389561247741289356652347918
872000060100762080630900010040003520500004601310006007400207803001050000050040070,872431965195762384634985712946173528527894631318526497469217853781359246253648179
230001980107680423869000710640302000070560200502147360710235040005804000083910500,234751986157689423869423715648392157371568294592147368716235849925874631483916572
005890603060403000030050010500038100003009000190570000000042008850010409070905020,425891673761423985938756214547238196283169547196574832319642758852317469674985321
602075309003020080940308072790861000028703006310000847061900750009157204000086901,682475319173629485945318672794861523528743196316592847261934758839157264457286931
001070040700400038003000067004037020908024070307080050009008200006213090100056083,861375942795462138243891567614537829958624371327189654539748216486213795172956483
306700451000201006700000002290140005801000000435000109670000000043000900500003060,326789451954231876718456392297148635861395247435672189679824513143567928582913764
080960720056402091972050060010006000500210306638745910093627050405830270020594000,184963725356472891972158463219386547547219386638745912893627154465831279721594638
020090004641000037070000002500040021030780509006003000000000410000030096460200075,325197684641852937879364152587946321234781569196523748952678413718435296463219875
670000040300000000001065000807300090460000030009478201100000023706080054000910700,678132549325749618941865372817326495462591837539478261184657923796283154253914786
300006205052300000984000607840001579020058043000700060500403001270000000009502000,317846295652397418984125637843261579726958143195734862568473921271689354439512786
083695020572104800960782500097401200254300980000928400009870000000240018000000794,483695127572134869961782543897451236254367981316928475149876352735249618628513794
300000070002306010600890003000209560000570100500610934004000090006080701805001206,398124675742356819651897423183249567469573182527618934214765398936482751875931246
080350972751200003032008510060904001194827005300000000209583000610470389000609207,486351972751296843932748516568934721194827635327165498279583164615472389843619257
078021963029500000136790045650139087397284500800070392085010624003942051241056730,578421963429563178136798245652139487397284516814675392985317624763942851241856739
478369102005781000630240008543096800020803006867004900010658070754902080006010005,478369152295781364631245798543196827129873546867524913312658479754932681986417235
600730800025481006701000000490057001260000000510364098100540000030029407050876020,649735812325481976781692534498257361263918745517364298172543689836129457954876123
078143000645970801910000240096000015500019060801405900784501000060830000059700184,278143596645972831913658247496287315527319468831465972784591623162834759359726184
070029341609000520301570968804760293130890005000000016267050184413200009080107030,578629341649318527321574968854761293136892475792435816267953184413286759985147632
560000003008690000092045007040002080010409020270000496400000500089510002657008000,564827913738691254192345867946752381813469725275183496421976538389514672657238149
009001070143907208760824093030000001097410300620008000804065009306000000000080040,289631574143957268765824193438576921597412386621398457814265739356749812972183645
000063470600040891004080003720614059415030000096270004940000000060000745807001000,589163472632547891174982563728614359415839627396275184943756218261398745857421936
100400320003500090049317685837601250950000740410705036090000400374060502628150900,165489327783526194249317685837641259956832741412795836591273468374968512628154973
004001200790400100031905784003610005062307000000002000300050040020094061006030000,654871293798423156231965784473619825562387419189542637317256948825794361946138572
007000200310705406600040100000430527200607900000800010700004000190500860003080740,947168235318725496652349178869431527231657984475892613786214359194573862523986741
070586000000700530000140000809257100001000020560831074007000400000408359080029006,973586241614792538258143697849257163731964825562831974397615482126478359485329716
042639005300071600069208403034000000001000347000500100403015869596080000010062030,142639785385471692769258413634127958251896347978543126423715869596384271817962534
300905074090008001608004050764000019030009087000100430247590068000780000016000005,321965874495378621678214953764853219132649587589127436247591368953786142816432795
000000000300750960000800541030070100070490385045103600103245790000960013029001050,452619837318754962697832541936578124271496385845123679163245798584967213729381456
610025430248001960030000200080604009001300652005010008056193004900060003170080596,619825437248731965537946281382654179491378652765219348856193724924567813173482596
963710000000040903000000670502000030000050009007308154370200000209801300040030098,963715482785642913421983675512479836834156729697328154378294561259861347146537298
800000600326070000041090038408960572060701940970000186000400300002030860504010020,859342617326178495741695238418963572265781943973254186687429351192537864534816729
000300000032900781000410029093800200850060000004179050970500402281700530345620900,719382645432956781568417329193845267857263194624179853976538412281794536345621978
400051000573062900000000507800009153130600804000003000926800430054090208000024609,498751362573462981612938547867249153139675824245183796926817435754396218381524679
000039208812006004409812750243050060100000000500328490706180000051794680084205100,675439218812576934439812756243951867198647325567328491726183549351794682984265173
001065079003000060629030800816047503930010007270000601108306050560491738307028000,481265379753189264629734815816947523935612487274853691148376952562491738397528146
240109380639400051851300290090003502308000400560940130410785903925630040083200010,247159386639428751851376294194863572378512469562947138416785923925631847783294615
109805020640109750285040691800000000756010004000200000090081000007306800300402019,179865423643129758285743691821634975756918234934257186492581367517396842368472519
025046000460037900037810042800100463006480520054703890541000270003624009692570000,125946738468237915937815642879152463316489527254763891541398276783624159692571384
000895100390410080160000950250980010410263895039050400902037041603109078071648239,724895163395416782168372954256984317417263895839751426982537641643129578571648239
674301059020079438039002100900200864216045000040967510465798301790104080183000007,674381259521679438839452176957213864216845793348967512465798321792134685183526947
208035009050400603000179802090000000506814007704093060007001006000700080460000021,278635419951482673643179852192567348536814297784293165827941536315726984469358721
470100000619800003302907816521793004806420001030610290247300560060009030003064007,478136952619852743352947816521793684896425371734618295247381569165279438983564127
080000051004089030020406900108002000007810523000070080703021845050008002812300600,986237451574189236321456978138592764697814523245673189763921845459768312812345697
587600090012049800004007210905400102100900070240370000821004006703208001059160708,587612493312549867694837215975486132138925674246371589821794356763258941459163728
008009000502700090300040000000600054250007130091800000020004010800902700600000049,148259376562783491379146582783621954256497138491835627927564813834912765615378249
010509002085070000032410008206037005891054060070000000360705421400021673027040050,614589732985372146732416598246137985891254367573968214368795421459821673127643859
630502100400000736900070405290800004001000200500200003109005870000000000050029000,637542198425198736918673425296837514381954267574216983149365872762481359853729641
985000000400008610000025049100300462096500000040010007028450000000690070619802534,985164723472938615361725849157389462296547381843216957728453196534691278619872534
040017008892603107001098300100009850358024060009180000910000030087500019030040000,543217698892653147761498325174369852358724961629185473916872534487536219235941786
746000009308400070129600000000000002932000617004010090090080004607094203400200060,746351829358429176129678435871963542932845617564712398293186754617594283485237961
010307805305009740004080030047010003000003400100058206009031000038000900201806050,912347865385169742764285139847612593526973481193458276459731628638524917271896354
043927681010030920000408000724090006035000007900000030471000060050600019060070300,543927681817536924692418573724893156135264897986751432471389265358642719269175348
000701053040005010000800200530108000962504000000209340406000009103000520200000634,628791453349625718751843296534178962962534871817269345476352189193486527285917634
600930000000005306200008491100003904803600700924087560407500030302890605000070208,641932857798415326235768491176253984853649712924187563487526139312894675569371248
200006700653709810098100036005008961076093000982401007000002579069080100427915680,214836795653729814798154236345278961176593428982461357831642579569387142427915683
003005264609802000010000900096000730180600095000050000960030000005080019030209546,873195264659842173214367958596428731182673495347951682961534827425786319738219546
305060071810407050200150840968510320000086500150000000690040030480305062030021408,345862971819437256276159843968514327723986514154273689692748135481395762537621498
080021734026479050400083200000147390090208017010390582030910048100734920500062003,985621734326479851471583269852147396693258417714396582237915648168734925549862173
500000201170000640900010008050070084040009072017348009826090010095100036431850920,584637291172985643963412758659271384348569172217348569826793415795124836431856927
020000100050000080800435006600927400002000007907040021000298000290061040178000902,326879154754612389819435276681927435542183697937546821465298713293761548178354962
008701950054692087700584360002007035503000006900000040400800619090000523620010408,268731954354692187719584362142967835573148296986253741437825619891476523625319478
